JS_IDX,domain,filename,src,y_lable
6,iprice.ph,/mnt/sdb1/domcrawl/htmls/1/iprice.ph,https://iprice.ph/track/?url=https://iprice.ph/&referrer=https://iprice.ph/,
20,www.footasylum.com,/mnt/sdb1/domcrawl/htmls/1/www.footasylum.com,https://4743388.fls.doubleclick.net/activityi;src=4743388;type=retar001;cat=foota001;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=9981830410372.312?,
7,www.bmstores.co.uk,/mnt/sdb1/domcrawl/htmls/1/www.bmstores.co.uk,https://6125973.fls.doubleclick.net/activityi;src=6125973;type=count01;cat=001ho0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=3957608094737.395?,
35,www.hydroone.com,/mnt/sdb1/domcrawl/htmls/1/www.hydroone.com,https://5258019.fls.doubleclick.net/activityi;src=5258019;type=invmedia;cat=z879a4u9;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=5847421846368.377?,
17,asiasociety.org,/mnt/sdb1/domcrawl/htmls/1/asiasociety.org,https://6068710.fls.doubleclick.net/activityi;src=6068710;type=nolim00;cat=nolim0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=6510870369471.026?,
diba.at,www.ing,/mnt/sdb1/domcrawl/htmls/1/www.ing,https://5238355.fls.doubleclick.net/activityi;src=5238355;type=ingdi0;cat=ingdi0;u1=0;u2=0;u3=%2Ftmp%2Fdirect_run_without_condition.html;u4=0;u5=0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=6242205342770.07?,
19,rfpl.org,/mnt/sdb1/domcrawl/htmls/1/rfpl.org,http://fantasyon.ru/banner3.php?rand=0.11486470788747694,
18,www.monotype.com,/mnt/sdb1/domcrawl/htmls/1/www.monotype.com,https://5076634.fls.doubleclick.net/activityi;src=5076634;type=retar0;cat=retar0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=2605876334362.778?,
27,www.wranglerforum.com,/mnt/sdb1/domcrawl/htmls/1/www.wranglerforum.com,https://4514783.fls.doubleclick.net/activityi;src=4514783;type=invmedia;cat=xvsmbcya;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=6091295869161.235?,
1,worldstarcandy.com,/mnt/sdb1/domcrawl/htmls/1/worldstarcandy.com,http://www.topqualitylink.com/en/us/banner/javascript/html/zone?zid=9842&pid=0&custom1=TRACKER&custom2=3115&custom3=3115_9842_RON_HEA_ALL&random=47996127&millis=1504280993393&referrer=file%3A%2F%2F%2Ftmp%2Fdirect_run_without_condition.html,
0,www.enedis.fr,/mnt/sdb1/domcrawl/htmls/1/www.enedis.fr,https://2229883.fls.doubleclick.net/activityi;src=2229883;type=erdf16;cat=lpened01;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=4950582825634.488?,
