JS_IDX,domain,filename,src,y_lable
1,1traf.ru,/mnt/sdb1/domcrawl/htmls/2/1traf.ru,"http://txtrk.com/tiz/c1tiz.php?ics=1&icp=7739&adul=2&bcol=white&zcol=&zfon=12,arial,_184751,0&tfon=12,tahoma,_777777&zcve=red&koli=2&rasp=0&full=0&rrff=1&h=0&ss=file%3A///tmp/direct_run_without_condition.html&rr=&vira=0&ramk=0,_000000&shif=90&ramt=1,_000000&tem=00",
26,3rialha.ir,/mnt/sdb1/domcrawl/htmls/2/3rialha.ir,http://www.3rialha.ir/content,
8,7kanal.com.ua,/mnt/sdb1/domcrawl/htmls/2/7kanal.com.ua,http://h.holder.com.ua/s?tf&b5169&r2464154&hfile%3A///tmp/direct_run_without_condition.html,
5,12thman.com,/mnt/sdb1/domcrawl/htmls/2/12thman.com,https://5181769.fls.doubleclick.net/activityi;src=5181769;type=amais0;cat=landi0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=4372426886816.423?,
101,12thman.com,/mnt/sdb1/domcrawl/htmls/2/12thman.com,https://6593531.fls.doubleclick.net/activityi;src=6593531;type=counter;cat=pagev0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=964469220611.2704?,
102,12thman.com,/mnt/sdb1/domcrawl/htmls/2/12thman.com,https://6593531.fls.doubleclick.net/activityi;src=6593531;type=counter;cat=sitev0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1;num=5329657102286.496?,
4,48months.ie,/mnt/sdb1/domcrawl/htmls/2/48months.ie,https://3499391.fls.doubleclick.net/activityi;src=3499391;type=landi317;cat=2016_0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=7784885241750.276?,
23,88db.com.hk,/mnt/sdb1/domcrawl/htmls/2/88db.com.hk,file:///hk/html/zh-hk/templates/frontpage/MemberFavouriteAD_iframe.page?t=1504106288091,
4,adfox.ru,/mnt/sdb1/domcrawl/htmls/2/adfox.ru,file://ads.adfox.ru/5962/getCode?p1=bqzzz&p2=v&p3=a&p4=a&pct=a&plp=a&pli=a&pop=a&pfc=a&pfb=a&pr=134899&pt=b&pd=30&pw=3&pv=11&puid1=,
18,advertur.ru,/mnt/sdb1/domcrawl/htmls/2/advertur.ru,file://track.advertur.ru/iframe.html?id=1381&referrer=&rnd=235175346,
5,afw.com,/mnt/sdb1/domcrawl/htmls/2/afw.com,https://5281803.fls.doubleclick.net/activityi;src=5281803;type=retar0;cat=unive0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1;num=9176428442701.166?,
13,afw.com,/mnt/sdb1/domcrawl/htmls/2/afw.com,https://5281803.fls.doubleclick.net/activityi;src=5281803;type=retar0;cat=homep0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1;num=2855308353122.774?,
5,agazete.com.tr,/mnt/sdb1/domcrawl/htmls/2/agazete.com.tr,http://ad.reyazilim.com/banner-2.html,
18,agefiph.fr,/mnt/sdb1/domcrawl/htmls/2/agefiph.fr,https://fls.doubleclick.net/activityi;src=2987167;type=arriv002;cat=agefi588;ord=1;num=5752293535334.345?,
4,alfa-music.ir,/mnt/sdb1/domcrawl/htmls/2/alfa-music.ir,http://ads.rzb.ir/image.php?size_id=7,
17,alphauniverse.com,/mnt/sdb1/domcrawl/htmls/2/alphauniverse.com,https://3343535.fls.doubleclick.net/activityi;src=3343535;type=SELAO0;cat=alphart3;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=3158002946124.925?,
0,amur.net,/mnt/sdb1/domcrawl/htmls/2/amur.net,http://ad.adriver.ru/cgi-bin/erle.cgi?sid=162232&sz=main_new_1_990&target=blank&bt=41&pz=0&rnd=847244132&tail256=unknown,
1,amur.net,/mnt/sdb1/domcrawl/htmls/2/amur.net,http://ad.adriver.ru/cgi-bin/erle.cgi?sid=162232&sz=mobil_500-200&target=blank&bt=51&pz=0&rnd=343828867&tail256=unknown,
2,amur.net,/mnt/sdb1/domcrawl/htmls/2/amur.net,http://ad.adriver.ru/cgi-bin/erle.cgi?sid=162232&sz=mobile_500-200_1&target=blank&bt=51&pz=0&rnd=273030810&tail256=unknown,
