file:///abnl/?adsdata=qOiEh23BgSiGG21adVLzVDIw6Btq8p^TRRxJm3YG2EtFnT3EFEclv!2TSYLHyx3TXOl8vupEB9haAQQy3xDl^8AvcvZJBt4jYiWfHQ9o			URL is not valid
file:///abnl/?adsdata=1VrEWO34EM;993RADCxry;v0Pu7Tb8gYmEXBCRZn2ZtaFMXufHCbcMsGAHFVV;y;4JZ44QgqtzqAXyL6VuxIPybuCCHAvj455jH3			URL is not valid
http://localhost/			URL is not valid
file:///abnl/?adsdata=mANQ6Pjqr7;h7NTVSD5^D2ajR77u2qA!v74ycYukpNt9ykWM341wHXD6Uf!vqmL;v6GIT^6T2zaBSuxVxELl!qXejjrmP7ZbiuYfzVbc			URL is not valid
http://tereda.hobby-site.org/eqxa.cgi?default	1	68	2016-09-19 14:52:30	Fortinet:malware site
http://bluenery.com/count7.php	2	65	2017-08-12 21:47:01	Sophos:malicious site Yandex Safebrowsing:malware site
http://zirycatum.com/k985ytv.htm	8	65	2017-07-03 12:32:45	Google Safebrowsing:malware site Kaspersky:malware site Dr.Web:malicious site G-Data:malware site Websense ThreatSeeker:malicious site Avira:malware site Sophos:malicious site Fortinet:malware site
http://babyreva.com/google_counter.php	3	68	2016-12-23 05:00:40	Websense ThreatSeeker:malicious site Sucuri SiteCheck:malicious site Fortinet:malware site
http://twoandhalfyear.ws/reached/global_reflection_sounding_techniques.php	2	64	2017-02-17 09:08:28	Avira:malware site Fortinet:malware site
http://wtzvvykt.cz.cc/count15.php	4	67	2016-06-09 09:13:00	Websense ThreatSeeker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://zhrcyffw.cz.cc/count22.php	5	65	2017-08-23 00:21:05	Dr.Web:malicious site Sophos:malicious site Yandex Safebrowsing:malware site AutoShun:malicious site Fortinet:malware site
http://zapzdiin.cz.cc/count16.php	2	67	2016-06-09 11:02:16	Websense ThreatSeeker:malicious site Sophos:malicious site
http://depenam.com/count22.php	5	65	2017-08-15 01:03:46	Avira:malware site Sophos:malicious site Yandex Safebrowsing:malware site AutoShun:malicious site Fortinet:malware site
http://codemonkeysoftware.co.za/images/dtd.php	4	62	2015-03-20 13:48:03	Google Safebrowsing:malware site Dr.Web:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://tylgyur.in/count27.php	4	67	2016-05-29 09:08:14	Kaspersky:malware site BitDefender:malware site Sophos:malicious site Yandex Safebrowsing:malware site
http://exploretravelnursing.com/news.php?tp=fdfa3ae59e44d190	6	68	2016-10-08 10:38:43	Kaspersky:malware site Websense ThreatSeeker:malicious site SCUMWARE.org:malware site Sophos:malicious site Sucuri SiteCheck:malicious site Fortinet:malware site
http://mlpcivga.cz.cc/count18.php	4	67	2016-05-28 10:06:32	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://spendmetest.com/Services/count.php	2	68	2016-08-09 10:13:30	Dr.Web:malicious site Websense ThreatSeeker:malicious site
http://secilsulek.com/clk.php	2	68	2016-10-21 08:30:00	Dr.Web:malicious site Fortinet:malware site
http://vanysa.de/traf.php	2	68	2016-09-04 15:17:15	Google Safebrowsing:malware site Fortinet:malware site
http://zoetqcvp.cz.cc/count20.php	5	67	2016-05-28 18:51:01	Kaspersky:malware site Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://drbolivar.com/stats.php	2	65	2017-08-25 10:47:44	Avira:malware site Sucuri SiteCheck:malicious site
http://www.marcotapinelli.com/images/cnt.php	2	68	2016-10-24 13:33:28	Websense ThreatSeeker:malicious site Fortinet:malware site
http://jhqgniys.cz.cc/count23.php	3	65	2017-08-24 10:51:27	Websense ThreatSeeker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://ecolimit.ru/cnt.php	2	65	2017-07-19 22:31:51	Avira:malware site Fortinet:malware site
http://inspireall.org/images/ywPBJxqf.php	1	65	2017-06-28 07:30:24	ZeroCERT:malicious site
http://fishum.com/count23.php	12	67	2016-06-10 01:41:36	Google Safebrowsing:malware site BitDefender:malware site Certly:malicious site Websense ThreatSeeker:malicious site AutoShun:malicious site ADMINUSLabs:malicious site Avira:malware site SCUMWARE.org:malware site Sophos:malicious site Yandex Safebrowsing:malware site Malware Domain Blocklist:malicious site Fortinet:malware site
http://62.129.239.229/cnt.php	3	68	2016-10-22 01:37:00	BitDefender:malware site Dr.Web:malicious site Fortinet:malware site
http://65.175.109.137/n9YMDNPb.php	0	64	2017-04-26 22:31:01	
http://cybersbi.com/SideSites/count.php	1	36	2013-04-28 23:38:14	Fortinet:malware site
http://kfc.i.illuminationes.com/snitch?default_keyword=&referrer=&se_referrer=&source=	7	65	2017-08-30 01:00:41	Kaspersky:malware site Dr.Web:malicious site Avira:malware site ESET:malware site Sophos:malicious site Sucuri SiteCheck:malicious site Fortinet:malware site
http://69.10.33.245/FormTools1_5_1/clik.php	5	68	2016-11-07 21:00:10	Google Safebrowsing:malware site Dr.Web:malicious site Avira:malware site Sophos:malicious site Fortinet:malware site
http://pnfyoidgkn.ce.ms/count13.php	5	67	2016-07-02 13:07:43	Kaspersky:malware site AutoShun:malicious site Avira:malware site Sophos:malicious site Fortinet:malware site
http://www.nicoleneffphotography.com/cnt.php	0	68	2016-07-15 13:16:47	
http://abeshaus-genealogy.com/49TGjLWY.php	0	68	2016-08-22 05:27:27	
http://jkjlaawd.cz.cc/count13.php	5	67	2016-06-09 15:49:46	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://ad.googleclick.info/?travel	5	63	2015-07-14 15:54:28	AutoShun:malicious site Kaspersky:malware site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://expertsoftsolutions.com/js/3Ygwvr76.php	1	68	2016-08-26 03:51:09	BitDefender:phishing site
http://locumresources.com/forum.php?tp=675eafec431b1f72	7	68	2016-11-25 04:01:43	Kaspersky:malware site Dr.Web:malicious site Avira:malware site SCUMWARE.org:malware site Sophos:malicious site Sucuri SiteCheck:malicious site Fortinet:malware site
http://pinkcontact.net/esd.php	1	67	2016-06-08 16:10:51	Avira:malware site
http://217.13.162.30/fileadmin/cnt.php	2	68	2016-10-30 06:00:44	Dr.Web:malicious site Fortinet:malware site
http://distrimedia.be/clik.php	0	63	2015-09-11 17:43:26	
http://51041846.de.strato-hosting.eu/Farben/esd.php	0	37	2013-03-30 14:58:04	
http://fwlyzyui.cz.cc/count18.php	5	67	2016-06-07 04:33:43	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://ihulypzi.ru/count12.php	3	68	2016-07-11 08:54:11	Kaspersky:malware site Websense ThreatSeeker:malicious site Sucuri SiteCheck:malicious site
http://tutproba.com/trunk?3	2	33	2013-01-12 00:46:44	Google Safebrowsing:malware site Sophos:malicious site
http://nnzgysxd.cz.cc/count16.php	4	67	2016-06-07 04:28:27	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://www.arrowsearch.com/cnt.php	0	39	2013-09-13 06:23:13	
http://cbkjeoof.cz.cc/count18.php	5	67	2016-06-04 12:28:14	Dr.Web:malicious site Websense ThreatSeeker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://ftp.go2holiday.net/incomingFTP/clik.php	1	68	2016-09-06 17:26:50	Fortinet:malware site
http://scaraori.com/count9.php	6	66	2017-07-21 11:26:23	Sangfor:malware site Kaspersky:malware site Dr.Web:malicious site Avira:malware site Sophos:malicious site Yandex Safebrowsing:malware site
http://israelfl.hostzi.com/rel.php	1	67	2016-06-08 03:12:02	Dr.Web:malicious site
http://beko.az/count.php	0	63	2015-08-25 11:55:35	
http://tejuxiv.ru/count2.php	7	65	2017-08-28 06:58:16	Google Safebrowsing:malware site Kaspersky:malware site Avira:malware site Sophos:malicious site Yandex Safebrowsing:malware site Sucuri SiteCheck:malicious site Fortinet:malware site
http://mareop922we.cu.cc/i/ftpvecher29	3	68	2016-11-15 02:28:56	Kaspersky:malware site Dr.Web:malicious site AutoShun:malicious site
http://zlalictr.cz.cc/count17.php	4	67	2016-06-09 15:17:04	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://businesspaard.nl/wp-includes/traf.php	2	60	2014-11-04 17:24:41	Dr.Web:malicious site Fortinet:malware site
http://fatguysfood.com/_vti_bin/dtd.php	3	57	2014-07-19 16:49:57	Google Safebrowsing:malware site Sophos:malicious site Fortinet:malware site
http://wrtetrxh.ce.ms/count13.php	6	68	2016-07-23 02:47:41	Kaspersky:malware site AutoShun:malicious site Avira:malware site SCUMWARE.org:malware site Sophos:malicious site Fortinet:malware site
http://iwahroq.ru/count6.php	5	65	2017-08-14 05:09:39	Kaspersky:malware site Sophos:malicious site Yandex Safebrowsing:malware site Sucuri SiteCheck:malicious site Fortinet:malware site
http://deangrzelak.com/wp-includes/rel.php	1	58	2014-08-20 09:25:23	Fortinet:malware site
http://dv-suedpfalz.de/melde/dtd.php	3	68	2016-08-11 18:44:19	Dr.Web:malicious site Websense ThreatSeeker:malicious site Fortinet:malware site
